Transcription-Units,Promoter,Absolute-Plus-1-Position,Binds-Sigma-Factor,Genes,Gene left,Gene right,Transcription-Direction
TU0-13438,PM0-10243,1928789,RPOD-MONOMER,EG11808,1928481,1928771,-
TU0-4907,PM00579,1860550,RPOD-MONOMER,EG10367,1860795,1861790,+
TU00045,PM00061,1277155,RPOD-MONOMER,EG10642,1277180,1278571,+
TU00061,PM00084,1003955,RPOD-MONOMER,EG10807,1003991,1005001,+
TU0-5261,PM0-5501,,RPOD-MONOMER,EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059,2289380 // 2290429 // 2290983 // 2292923 // 2293399 // 2293605 // 2294384 // 2295043,2290432 // 2290986 // 2292926 // 2293402 // 2293608 // 2294342 // 2295046 // 2295666,-
TU0-1742,PM194,1337258,RPOD-MONOMER,EG11331,1336594,1337184,-
TU0-14291,PM0-9421,3340248,RPOD-MONOMER,EG11680 // G7665 // G7664 // G7663,3341966 // 3341402 // 3340858 // 3340295,3342691 // 3341959 // 3341433 // 3340861,+
TU00464,PM00619,3490417,RPOD-MONOMER,EG10757,3489747,3490319,-
TU00077,PM00106,1331812,RPOD-MONOMER,EG10184,1331879,1332853,+
TU0-1963,PM167,3126228,RPOD-MONOMER,G7546,3126294,3127058,+
TU00093,PM00132,3303882,RPOD-MONOMER,EG10617,3302595,3303839,-
TU0-13503,PM0-10281,2151670,RPOD-MONOMER,G0-8885,2151670,2151805,+
TU0-5981,PM00448,3590401,RPOD-MONOMER,EG11050 // EG11048 // EG11049 // EG11046 // EG11047,3585393 // 3586133 // 3587205 // 3588047 // 3589032,3586136 // 3587203 // 3588050 // 3588934 // 3590348,-
TU-8412,PM-8798,687119,RPOD-MONOMER,G0-9383 // EG12663 // EG12662 // EG12661 // G6359,685904 // 683753 // 684478 // 685152 // 686062,686066 // 684478 // 685152 // 685892 // 686970,-
TU0-2421,PM0-2601,4465303,RPOD-MONOMER,G0-10689 // EG12525,4465454 // 4465648,4465507 // 4468344,+
TU00496,PM00655,2945404,RPOD-MONOMER,EG30062 // EG31117 // EG30060,2945409 // 2945519 // 2945629,2945485 // 2945595 // 2945705,+
TU0-13913,PM0-9512,3453553,RPOD-MONOMER,EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702,3463565 // 3463104 // 3461944 // 3460946 // 3460366 // 3459996 // 3459490 // 3459045 // 3457839 // 3456361 // 3454399 // 3453600,3464242 // 3463565 // 3463107 // 3461929 // 3460953 // 3460373 // 3459999 // 3459482 // 3459035 // 3457842 // 3456351 // 3454415,+
TU00110,PM00151,29551,RPOD-MONOMER,EG10134 // EG10135,29651 // 30817,30799 // 34038,+
TU0-6403,PM00318,28343,RPOD-MONOMER,EG10206,28374,29195,+
TU0-2644,PM00401,2311106,RPOD-MONOMER,EG30063,2311106,2311198,+
TU00512,PM00667,1990204,RPOD-MONOMER,EG30054 // G7991 // EG30039,1989839 // 1989938 // 1990066,1989925 // 1990011 // 1990141,-
TU00126,PM00169,2337561,RPOD-MONOMER,EG11143,2337589,2338311,+
TU0-6483,PM325,2598459,RPOD-MONOMER,EG10108,2598500,2598970,+
